# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
       52.2062      4.848910     16.384000
       53.0506      5.121920     16.558800
       53.9087      5.403940     16.735400
       54.7806      5.696190     16.913900
       55.6667      6.000130     17.094300
       56.5670      6.318140     17.276600
       57.4820      6.659650     17.460900
       58.4117      7.025540     17.623000
       59.3564      7.384250     17.764800
       60.3165      7.743000     17.907700
       61.2921      8.107730     18.051800
       62.2834      8.481320     18.197100
       63.2908      8.865970     18.343500
       64.3145      9.263870     18.491100
       65.3547      9.677270     18.640000
       66.4118     10.109500     18.790300
       67.4859     10.564400     18.941900
       68.5775     11.048100     19.094600
       69.6867     11.572300     19.248600
       70.8138     12.188000     19.391600
       71.9591     12.792800     19.399500
       73.1230     13.376300     19.407300
       74.3057     13.965900     19.415200
       75.5076     14.604200     19.423100
       76.7289     15.271600     19.326900
       77.9699     15.902700     19.183700
       79.2310     16.502200     19.041600
       80.5125     17.113600     18.900600
       81.8147     17.738000     18.725200
       83.1380     18.359400     18.533000
       84.4827     18.987500     18.342800
       85.8491     19.639900     18.154600
       87.2377     20.451500     17.968200
       88.6487     21.268400     17.544900
       90.0825     21.989800     17.094800
       91.5395     22.699800     16.656200
       93.0201     23.651800     16.228800
       94.5246     24.648800     15.395800
       96.0535     25.379800     14.367800
       97.6071     26.174800     13.358800
       99.1858     26.617000     11.809600
      100.7900     26.648600     10.440100
      102.4200     26.494500      9.229400
      104.0770     26.221800      8.159070
      105.7600     25.890800      7.212900
      107.4710     25.521200      6.353200
      109.2090     25.085500      5.542040
      110.9750     24.590900      4.834440
      112.7700     24.070600      4.217180
      114.5940     23.532100      3.678720
      116.4480     22.948300      3.209040
      118.3310     22.349700      2.870800
      120.2450     21.828500      2.652180
      122.1900     21.369600      2.450210
      124.1660     20.939100      2.263630
      126.1750     20.518600      2.091250
      128.2150     20.108100      1.959340
      130.2890     19.722400      1.844800
      132.3970     19.328200      1.736950
      134.5380     18.941700      1.689050
      136.7140     18.593900      1.648380
      138.9250     18.251800      1.626220
      141.1720     17.919300      1.617660
      143.4560     17.601700      1.647470
      145.7760     17.316600      1.675470
      148.1340     17.030000      1.701760
      150.5300     16.738600      1.763940
      152.9640     16.473500      1.844440
      155.4390     16.225300      1.928610
      157.9530     15.975900      2.016620
      160.5070     15.719300      2.150150
      163.1030     15.501700      2.320600
      165.7420     15.330700      2.503850
      168.4220     15.193800      2.680310
      171.1460     15.096000      2.867210
      173.9150     15.027100      3.002230
      176.7270     14.948200      3.143610
      179.5860     14.894700      3.291650
      182.4910     14.862700      3.391850
      185.4420     14.814600      3.491720
      188.4420     14.776200      3.594530
      191.4890     14.749900      3.684590
      194.5870     14.718100      3.757050
      197.7340     14.682900      3.828830
      200.9320     14.645200      3.890430
      204.1820     14.601500      3.953020
      207.4850     14.555700      4.016610
      210.8400     14.509000      4.081240
      214.2510     14.462200      4.146900
      217.7160     14.415900      4.213610
      221.2370     14.370500      4.281400
      224.8160     14.326600      4.350280
      228.4520     14.285200      4.420280
      232.1470     14.247400      4.491390
      235.9020     14.223200      4.563650
      239.7170     14.212300      4.610850
      243.5950     14.176800      4.647940
      247.5350     14.134700      4.685330
      251.5380     14.088200      4.723010
      255.6070     14.039600      4.761000
      259.7410     13.991600      4.791150
      263.9420     13.932800      4.817580
      268.2110     13.868300      4.844150
      272.5490     13.801300      4.870860
      276.9570     13.740700      4.897470
      281.4370     13.673300      4.882110
      285.9890     13.574400      4.866820
